ba,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
p1,0.044262107198,0.044262107198,0.044262107198,0.044262107198,0.044262107198,0.0431947313165,0.042127355435,0.041960167218,0.041792979001,0.0430206240875,0.044248269174,0.044570875296,0.044893481418,0.0451388128405,0.045384144263,0.058370814736,0.071357485209,0.0706963249975,0.070035164786,0.07087116332,0.071707161854,0.0730277947435,0.074348427633,0.0729416122955,0.071534796958,0.071464530369,0.07139426378,0.071065283315,0.07073630285,0.0721602811875,0.073584259525,0.072284132933,0.070984006341,0.0602374554305,0.04949090452,0.05759959001,0.0657082755
p10,0.054226601992,0.054226601992,0.054226601992,0.054226601992,0.054226601992,0.0528871939175,0.051547785843,0.0566321947415,0.06171660364,0.067431886185,0.07314716873,0.076041760539,0.078936352348,0.081566340521,0.084196328694,0.0808348494345,0.077473370175,0.0766934166085,0.075913463042,0.0759546523895,0.075995841737,0.0764316368815,0.076867432026,0.0774593619605,0.078051291895,0.0784003060615,0.078749320228,0.0798284702265,0.080907620225,0.0817989652755,0.082690310326,0.08130714637,0.079923982414,0.0783549966075,0.076786010801,0.0745571113825,0.072328211964
p100,0.034216698069,0.034216698069,0.034216698069,0.034216698069,0.034216698069,0.0333221833555,0.032427668642,0.036242045125,0.040056421608,0.042156948527,0.044257475446,0.044550950309,0.044844425172,0.0454997505955,0.046155076019,0.0467753443465,0.047395612674,0.047591315456,0.047787018238,0.0481572753265,0.048527532415,0.049085946352,0.049644360289,0.049912868171,0.050181376053,0.0506181017625,0.051054827472,0.0509961484525,0.050937469433,0.051391324697,0.051845179961,0.0517535002955,0.05166182063,0.0524388009905,0.053215781351,0.053865167865,0.054514554379
p101,0.034938152523,0.034938152523,0.034938152523,0.034938152523,0.034938152523,0.034417399263,0.033896646003,0.037636270325,0.041375894647,0.0438134898855,0.046251085124,0.046349919078,0.046448753032,0.046931945896,0.04741513876,0.047820748561,0.048226358362,0.0483021839805,0.048378009599,0.048729903283,0.049081796967,0.049611838556,0.050141880145,0.050188924844,0.050235969543,0.0505592637725,0.050882558002,0.0508253731765,0.050768188351,0.0511938547115,0.051619521072,0.051797240002,0.051974958932,0.0527032091635,0.053431459395,0.054055497733,0.054679536071
p102,0.033977391154,0.033977391154,0.033977391154,0.033977391154,0.033977391154,0.0334775381315,0.032977685109,0.0365450775645,0.04011247002,0.042442100598,0.044771731176,0.0448631883555,0.044954645535,0.045422724046,0.045890802557,0.046285419956,0.046680037355,0.0467743162585,0.046868595162,0.0472937151025,0.047718835043,0.048346686282,0.048974537521,0.0491097194705,0.04924490142,0.0498275719095,0.050410242399,0.050403984966,0.050397727533,0.050722734966,0.051047742399,0.05127960443,0.051511466461,0.052224097799,0.052936729137,0.053548965074,0.054161201011
p103,0.033736375905,0.033736375905,0.033736375905,0.033736375905,0.033736375905,0.0332136066055,0.032690837306,0.037423675725,0.042156514144,0.0439029206455,0.045649327147,0.046307282407,0.046965237667,0.0476558659315,0.048346494196,0.049005621479,0.049664748762,0.0498260297795,0.049987310797,0.049659841077,0.049332371357,0.0498231913665,0.050314011376,0.0503591298245,0.050404248273,0.0510732076485,0.051742167024,0.050899927768,0.050057688512,0.050637822549,0.051217956586,0.051381812411,0.051545668236,0.0523783945345,0.053211120833,0.0540336629815,0.05485620513
p104,0.03300246932,0.03300246932,0.03300246932,0.03300246932,0.03300246932,0.0324822952485,0.031962121177,0.0363957002225,0.040829279268,0.042386081263,0.043942883258,0.0445051359855,0.045067388713,0.045751319408,0.046435250103,0.0469661857035,0.047497121304,0.047595508596,0.047693895888,0.0478820515275,0.048070207167,0.0484692755255,0.048868343884,0.048721683885,0.048575023886,0.048911495779,0.049247967672,0.048381746671,0.04751552567,0.0479872616965,0.048458997723,0.048332345189,0.048205692655,0.0489973238945,0.049788955134,0.0506395165785,0.051490078023
p105,0.033050594569,0.033050594569,0.033050594569,0.033050594569,0.033050594569,0.0324725180465,0.031894441524,0.036112525434,0.040330609344,0.0418590262845,0.043387443225,0.043934677068,0.044481910911,0.0451478013885,0.045813691866,0.046345709404,0.046877726942,0.046964256531,0.04705078612,0.0472023461895,0.047353906259,0.0477372206575,0.048120535056,0.048068358982,0.048016182908,0.0483389462825,0.048661709657,0.048121024497,0.047580339337,0.048044129634,0.048507919931,0.04857577785,0.048643635769,0.049430299685,0.050216963601,0.0507988927405,0.05138082188
p106,0.032806991982,0.032806991982,0.032806991982,0.032806991982,0.032806991982,0.03226259203,0.031718192078,0.035934080448,0.040149968818,0.041609969987,0.043069971156,0.043635317676,0.044200664196,0.044850285631,0.045499907066,0.046038370215,0.046576833364,0.0466644122615,0.046751991159,0.046934522151,0.047117053143,0.047496551592,0.047876050041,0.047815198491,0.047754346941,0.048068881581,0.048383416221,0.0480268907405,0.04767036526,0.0480994618315,0.048528558403,0.0485470753275,0.048565592252,0.0493256878985,0.050085783545,0.050695240743,0.051304697941
p107,0.031752055343,0.031752055343,0.031752055343,0.031752055343,0.031752055343,0.031225046881,0.030698038419,0.0347790465135,0.038860054608,0.040273146305,0.041686238002,0.0422324380575,0.042778638113,0.043407214796,0.044035791479,0.0445558177245,0.04507584397,0.0451598051915,0.045243766413,0.045420357674,0.045596948935,0.0459634792365,0.046330009538,0.0462709768885,0.046211944239,0.046517816033,0.046823687827,0.0465412977835,0.04625890774,0.046903655466,0.047548403192,0.047682446839,0.047816490486,0.0487104370085,0.049604383531,0.0503601245955,0.05111586566
